blind_proposal_id,final_status,closest_generated_id,confidence,adjudication_reason_cn
judgment-0484,partial,audit-0088-g01,medium,"生成题 audit-0088-g01 询问：“[Single-Choice] As the camera pans left, how does the perceived horizontal position of the distant wind turbine change relative to the large, multi-gabled house on the peninsula? [Options] A) It moves from being to the left of the house to being to the right of the house. B) It remains to the left of the house throughout the pan. C) It moves from being to the right of the house to being to the left of the house. D) It becomes completely blocked from view by the house.”；参考题询问：“镜头移动时海滨住宅何时进入中央？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0488,direct,audit-0089-g01,high,生成题描述绳从线圈变成复杂缠绕再由松弛变为张紧，实质给出先绕绳后拉紧的顺序。
judgment-0489,direct,audit-0089-g01,high,生成题明确讨论两木杆交叉点的稳定性及缠绕后的连接，直接覆盖捆扎点在交叉处而非末端。
judgment-0491,direct,audit-0089-g01,high,生成题直接描述绳由松弛变张紧且由线圈变为复杂缠绕结构，覆盖拉紧后的结构变化。
judgment-0494,partial,audit-0090-g01,medium,生成题同时定位中央儿童群和后来出现的成年人，但没有追踪二者距离如何变化。
judgment-0495,partial,audit-0090-g01,medium,生成题明确成年人稍后出现，却没有孩子们散开的时刻，无法完整比较先后。
judgment-0499,direct,audit-0091-g02,high,生成题把无人机在跟随中是否明显降低高度列为需判断的实际空间行为，直接覆盖相对地面高度变化。
judgment-0502,partial,audit-0091-g02,medium,生成题判断跟随时是否显著掉高，涉及高度安全余量，但没有草地参照或全程高于草地的条件。
judgment-0503,partial,audit-0091-g02,medium,生成题说明测试的是无人机跟随操作者的能力，涉及双方持续跟踪意图，但没有判断操作者转身是否为了跟踪无人机且主客体相反。
judgment-0521,absent,audit-0095-g01,high,生成题 audit-0095-g01 询问：“[True/False] The path of the woman in the black dress crosses behind the path of the woman pushing the stroller.”；参考题询问：“前进过程中迎面行人与相机距离如何变化？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0524,absent,audit-0095-g01,high,生成题 audit-0095-g01 询问：“[True/False] The path of the woman in the black dress crosses behind the path of the woman pushing the stroller.”；参考题询问：“迎面行人经过后是否离开视野？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0528,absent,audit-0096-g02,high,生成题分别讨论两辆红车各自一个弯道动作，没有判断同一主要红车是否完成多次明显转向。
judgment-0530,partial,audit-0096-g03,medium,"生成题 audit-0096-g03 询问：“[Single-Choice] Judging by the second car's orientation and speed as it leaves the frame to the right, what is the most probable immediate outcome of its maneuver? [Options] A) The car will come to an abrupt halt. B) The car will straighten its path and continue driving forward. C) The car will spin out and face the opposite direction. D) The car will continue sliding sideways at the same angle.”；参考题询问：“车辆最终朝向画面哪一侧？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0532,partial,audit-0097-g01,medium,生成题在男子接近转角前把墙上最后一张照片作为可能被遮住物，涉及人与照片的接近过程但没有连续距离变化。
judgment-0537,absent,audit-0098-g01,high,生成题 audit-0098-g01 询问：“[Single-Choice] How does the surfer's position relative to the main breaking part of the wave (the white water) change between the first turn (0:03) and the second turn (0:08)? [Options] A) They move farther away from the white water and then closer again. B) They stay at a constant distance from the white water. C) They move closer to the white water and then farther away. D) They are always inside the white water.”；参考题询问：“冲浪者跌入浪花后是否再次露出水面？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0540,absent,audit-0098-g01,high,生成题 audit-0098-g01 询问：“[Single-Choice] How does the surfer's position relative to the main breaking part of the wave (the white water) change between the first turn (0:03) and the second turn (0:08)? [Options] A) They move farther away from the white water and then closer again. B) They stay at a constant distance from the white water. C) They move closer to the white water and then farther away. D) They are always inside the white water.”；参考题询问：“冲浪者何时被浪花完全遮挡？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。
judgment-0548,partial,audit-0099-g02,medium,生成题说明车辆已开始减速并推演若不减速将沿路直行，相关于停车趋势但未判断最终是否停在路上。
judgment-0549,partial,audit-0100-g04,medium,"生成题 audit-0100-g04 询问：“[True/False] As the vehicle moves forward and to the left, the car's left A-pillar moves across the field of view, eventually revealing a wooden fence that was initially occluded.”；参考题询问：“白车经过住宅时从车内视角向哪侧移动？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0552,partial,audit-0100-g04,medium,"生成题 audit-0100-g04 询问：“[True/False] As the vehicle moves forward and to the left, the car's left A-pillar moves across the field of view, eventually revealing a wooden fence that was initially occluded.”；参考题询问：“窗外白车相对观察者向哪侧移动？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0553,absent,audit-0100-g04,high,生成题的前景遮挡物是左侧A柱且被揭示的是木栅栏，不是仪表台对白车的遮挡。
judgment-0558,direct,audit-0101-g01,high,生成题直接描述鱼先从远处在水中被拉近再被举起，完整覆盖从水下出现到举起的核心顺序。
judgment-0562,partial,audit-0102-g04,medium,生成题比较背景列车相对摩托车比赛方向是同向、反向或横向，触及骑手行驶轴向但没有直接给出画面或赛道哪侧。
judgment-0563,direct,audit-0102-g01,high,生成题直接判断右车道摩托车是否从早期加速后持续保持领先，完整覆盖比赛中前后关系是否改变。
judgment-0574,direct,audit-0105-g02,high,生成题明确男子对左手物体进行反复刮削并造成表面变化，直接覆盖持续处理手中物品。
judgment-0580,partial,audit-0106-g03,medium,生成题定位女子左侧引导鱼钩的手并描述鱼钩进入鱼嘴，但没有比较先握住小鱼与另一手靠近鱼钩的次序。
judgment-0582,direct,audit-0106-g01,high,生成题直接判断把鱼钩穿过鱼嘴的目标是否为把鱼固定在线上作活饵，实质决定处理后钩与鱼并未分离。
judgment-0585,direct,audit-0106-g01,high,生成题直接询问两手引导鱼钩穿过鱼嘴的即时目标，完整覆盖操作鱼钩的目的。
judgment-0588,partial,audit-0107-g01,medium,生成题明确直升机完成着陆并进入停转状态，但没有说明落在草地或机身是否平稳。
judgment-0591,absent,audit-0107-g01,high,生成题只关注着陆后主旋翼状态，没有着陆时机身朝向稳定性。
judgment-0597,partial,audit-0108-g01,medium,生成题明确一名女子从画面右侧向左走并最终被人遮挡，触及人群中的移动方向但没有判断整个人群是否同向。
judgment-0598,direct,audit-0109-g01,high,生成题直接说明手势先指包装盒中央标签再移到盒顶边缘，完整覆盖主要指向区域。
judgment-0599,absent,audit-0109-g01,high,生成题没有盒面圆形图案相对产品名称的位置。
judgment-0606,absent,audit-0110-g02,high,"生成题 audit-0110-g02 询问：“[True/False] Based on their movements, the two dogs are initially moving away from each other.”；参考题询问：“狗群是否在奔跑中改变整体方向？”。生成题的核心事实与参考题不同；同一视频、同一对象或相邻事件本身不足以构成覆盖。"
judgment-0607,partial,audit-0110-g02,medium,生成题直接判断两只狗起初是否相互远离，可区分是否同向奔跑，但没有明确黑狗和白狗身份或全程方向。
judgment-0611,absent,audit-0111-g05,high,生成题定位居民房屋、灌木和街道，没有草地作为参照或居民区相对草地的方向。
judgment-0614,direct,audit-0111-g02,high,生成题明确多栋房屋位于浓密树线后方并考察白房是否被树完全挡住，直接覆盖前景灌木遮挡部分房屋。
judgment-0632,partial,audit-0115-g02,medium,生成题通过未上漆外壳与完整红车比较开孔和缺失部件，覆盖两类细节但没有镜头先展示外壳还是开孔。
judgment-0633,direct,audit-0115-g02,high,生成题具体比较前格栅开口和前轮拱等开孔是否存在，直接覆盖开孔位于车身前部区域。
judgment-0634,direct,audit-0115-g02,high,生成题明确前景车身未上漆且相较组装红车缺少多项部件，直接覆盖未完成或拆卸状态。
judgment-0640,partial,audit-0116-g01,medium,生成题把装卸码头、半挂车等列为车辆潜在碰撞对象，触及装卸区运动，但没有与从远处横向驶过比较顺序。
judgment-0641,partial,audit-0116-g01,medium,生成题明确汽车在七秒处持续旋转且司机随后修正路径，覆盖转弯过程但没有直接判断是否完成转弯。
judgment-0642,partial,audit-0116-g01,medium,生成题预测若保持轨迹可能撞上主楼装卸门，说明与仓库接近，但未追踪实际距离变化。
judgment-0644,direct,audit-0117-g02,high,生成题明确白色SUV静止等待驶出停车场时一辆深色SUV横穿路口，直接覆盖汇入主路前等待横向车流。
judgment-0645,partial,audit-0117-g01,medium,生成题根据道路箭头判断直行会进入何处，另题描述停车场出口，却没有直接给出实际汇入方向位于驾驶者哪侧。
judgment-0646,direct,audit-0117-g02,high,生成题明确本车静止等待时横向深色SUV先穿过路口，实质覆盖横向车先通过、本车后起步的顺序。
judgment-0650,direct,audit-0118-g01,high,生成题直接判断主入口纱门与实心白门的前后端关系，覆盖入口门位于车身哪一端。
judgment-0654,absent,audit-0118-g03,high,生成题仅把遮阳篷顶部列为可能的下一焦点，没有判断其是否在全片段展开。
judgment-0655,absent,audit-0118-g02,high,生成题定位后方实心白门并描述初始遮挡，但没有它相对侧窗的侧向位置。
judgment-0656,partial,audit-0119-g01,medium,"生成题 audit-0119-g01 询问：“[Single-Choice] As the motorcycle accelerates through the intersection, what is the final position of the red car relative to the motorcycle's camera? [Options] A) Directly in front of the motorcycle. B) To the right and behind the motorcycle. C) To the left and behind the motorcycle. D) It is no longer visible.”；参考题询问：“摩托车与前方红车的距离如何变化？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
judgment-0658,absent,audit-0119-g01,high,生成题没有转向车道相对骑手位于哪侧。
judgment-0660,partial,audit-0119-g01,medium,"生成题 audit-0119-g01 询问：“[Single-Choice] As the motorcycle accelerates through the intersection, what is the final position of the red car relative to the motorcycle's camera? [Options] A) Directly in front of the motorcycle. B) To the right and behind the motorcycle. C) To the left and behind the motorcycle. D) It is no longer visible.”；参考题询问：“前方红车与骑手的距离如何变化？”。二者有明确语义重合，但生成题只覆盖参考事实的一部分，或改问了不同参照、时间点、条件或细节，不能直接回答参考题。"
